問題5,回答5,平均回答時間,問題6,回答6,平均回答時間,問題7,回答7,平均回答時間
たむかりつ,かたつむり,6.99,ちわはせあ,はちあわせ,8.32,んしうての,してんのう,9.19
ろんうきた,きんたろう,10.9,わりつたな,つなわたり,9.63,あふせしわ,ふしあわせ,9.54
とわおせあ,おとあわせ,17.64,きわさりま,さきまわり,18.11,れのこもわ,こわれもの,19.97
しけみまお,まけおしみ,24.41,あすしなら,すなあらし,22.4,あせつわけ,つけあわせ,20.09
るわさしま,さるまわし,16.97,りいふあつ,ふつりあい,17.37,あつせめわ,つめあわせ,18.37
もうあよれ,あれもよう,19.01,あせかわお,かおあわせ,19.01,なむすりけ,すなけむり,18.91
としおよひ,おひとよし,24.97,ちかまりあ,まちあかり,25.84,かしひえき,ひきかえし,26.95
むちりつけ,つちけむり,31.99,かのしそむ,そのむかし,31.03,あひりとた,ひとあたり,29.42
ねりないき,なきねいり,23.51,またりちわ,たちまわり,26.21,ういひかこ,ひこうかい,26.45
まりこわし,こしまわり,34.11,えめまりの,まえのめり,32.32,とかひみつ,ひとつかみ,31.48
